iter	Passed	Remaining
464	735	846
465	736	844
466	737	841
467	738	839
468	739	837
469	740	835
470	741	833
471	742	831
472	744	828
473	744	826
474	745	824
475	746	822
476	747	820
477	748	817
478	749	815
479	750	813
480	751	811
481	752	809
482	754	807
483	755	805
484	756	803
485	757	800
486	758	798
487	759	796
488	760	794
489	761	792
490	762	790
491	763	788
492	764	786
493	765	784
494	766	782
495	767	780
496	768	778
497	769	776
498	770	773
499	771	771
500	773	769
501	774	768
502	775	766
503	776	764
504	777	761
505	778	759
506	779	757
507	780	755
508	781	753
509	782	751
510	783	749
511	784	747
512	785	745
513	786	743
514	787	741
515	788	739
516	789	737
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	802	714
529	803	712
530	804	710
531	805	708
532	806	706
533	807	704
534	808	702
535	809	700
536	810	698
537	811	696
538	812	694
539	813	692
540	814	691
541	815	689
542	816	687
543	817	685
544	818	683
545	819	681
546	820	679
547	821	677
548	822	676
549	824	674
550	825	672
551	826	670
552	827	668
553	828	666
554	829	664
555	830	662
556	831	661
557	832	659
558	833	657
559	834	655
560	835	653
561	836	651
562	837	649
563	838	647
564	839	646
565	840	644
566	841	642
567	842	640
568	843	638
569	844	637
570	845	635
571	846	633
572	847	631
573	848	629
574	849	628
575	850	626
576	851	624
577	852	622
578	853	620
579	854	619
580	856	617
581	857	615
582	858	613
583	859	612
584	860	610
585	861	608
586	862	606
587	863	604
588	864	603
589	865	601
590	866	599
591	867	597
592	868	596
593	869	594
594	870	592
595	871	590
596	872	588
597	873	587
598	874	585
599	875	583
600	876	582
601	877	580
602	878	578
603	879	576
604	880	575
605	881	573
606	882	571
607	883	569
608	884	568
609	885	566
610	886	564
611	887	562
612	888	561
613	889	559
614	890	557
615	891	556
616	893	554
617	893	552
618	894	550
619	896	549
620	897	547
621	898	546
622	899	544
623	900	542
624	901	540
625	902	539
626	903	537
627	904	535
628	905	534
629	906	532
630	907	530
631	908	529
632	909	527
633	910	525
634	911	524
635	912	522
636	914	520
637	915	519
638	916	517
639	917	515
640	918	514
641	919	512
642	920	510
643	921	509
644	922	507
645	923	505
646	924	504
647	925	502
648	926	501
649	927	499
650	928	497
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	934	487
657	935	486
658	936	484
659	937	483
660	938	481
661	939	479
662	940	478
663	941	476
664	942	474
665	943	473
666	944	471
667	945	470
668	946	468
669	948	466
670	949	465
671	950	463
672	950	462
673	952	460
674	953	458
675	954	457
676	955	455
677	956	454
678	957	452
679	958	450
680	959	449
681	960	447
682	961	446
683	962	444
684	963	443
685	964	441
686	965	439
687	966	438
688	967	436
689	968	435
690	969	433
691	970	432
692	971	430
693	972	428
694	973	427
695	974	425
696	975	424
697	976	422
698	977	421
699	978	419
700	979	417
701	980	416
702	982	414
703	982	413
704	984	411
705	985	410
706	986	408
707	987	407
708	988	405
709	989	404
710	990	402
711	991	400
712	992	399
713	993	397
714	994	396
715	995	394
716	996	393
717	997	391
718	998	390
719	999	388
720	1000	387
721	1001	385
722	1002	384
723	1003	382
724	1004	381
725	1005	379
726	1007	378
727	1008	376
728	1009	375
729	1010	373
730	1011	372
731	1012	370
732	1013	369
733	1014	367
734	1015	366
735	1016	364
736	1018	363
737	1019	361
738	1020	360
739	1021	358
740	1022	357
741	1023	355
742	1024	354
743	1025	352
744	1026	351
745	1027	349
746	1028	348
747	1029	346
748	1030	345
749	1031	343
750	1032	342
751	1033	340
752	1034	339
753	1035	337
754	1036	336
755	1037	334
756	1038	333
757	1039	331
758	1040	330
759	1042	329
760	1043	327
761	1044	326
762	1045	324
763	1046	323
764	1047	321
765	1048	320
766	1049	318
767	1050	317
768	1051	315
769	1052	314
770	1053	312
771	1054	311
772	1055	309
773	1056	308
774	1057	307
775	1058	305
776	1059	304
777	1060	302
778	1061	301
779	1062	299
780	1063	298
781	1064	296
782	1065	295
783	1066	293
784	1067	292
785	1068	290
786	1069	289
787	1070	288
788	1071	286
789	1072	285
790	1073	283
791	1075	282
792	1076	280
793	1077	279
794	1078	278
795	1079	276
796	1080	275
797	1081	273
798	1082	272
799	1083	270
800	1084	269
801	1085	267
802	1086	266
803	1087	265
804	1088	263
805	1089	262
806	1090	260
807	1091	259
808	1092	257
809	1093	256
810	1094	255
811	1095	253
812	1096	252
813	1097	250
814	1098	249
815	1099	247
816	1100	246
817	1101	245
818	1102	243
819	1103	242
820	1104	240
821	1106	239
822	1107	238
823	1108	236
824	1109	235
825	1110	233
826	1111	232
827	1112	231
828	1113	229
829	1114	228
830	1115	226
831	1116	225
832	1117	224
833	1118	222
834	1119	221
835	1120	219
836	1121	218
837	1122	217
838	1123	215
839	1125	214
840	1126	212
841	1127	211
842	1129	210
843	1130	208
844	1131	207
845	1132	206
846	1133	204
847	1134	203
848	1135	201
849	1136	200
850	1137	199
851	1138	197
852	1139	196
853	1140	195
854	1141	193
855	1143	192
856	1144	190
857	1145	189
858	1146	188
859	1147	186
860	1148	185
861	1149	184
862	1150	182
863	1151	181
864	1152	179
865	1153	178
866	1154	177
867	1155	175
868	1156	174
869	1157	173
870	1158	171
871	1159	170
872	1160	168
873	1162	167
874	1163	166
875	1164	164
876	1165	163
877	1166	162
878	1167	160
879	1168	159
880	1169	157
881	1170	156
882	1171	155
883	1172	153
884	1173	152
885	1174	151
886	1175	149
887	1176	148
888	1177	147
889	1178	145
890	1179	144
891	1181	143
892	1182	141
893	1183	140
894	1184	138
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1190	130
901	1191	129
902	1192	128
903	1193	126
904	1194	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1200	118
910	1201	117
911	1202	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1210	106
919	1211	105
920	1212	104
921	1213	102
922	1214	101
923	1215	99
924	1217	98
925	1218	97
926	1219	96
927	1220	94
928	1221	93
929	1222	92
930	1223	90
931	1224	89
932	1225	88
933	1226	86
934	1228	85
935	1229	84
936	1230	82
937	1231	81
938	1232	80
939	1233	78
940	1234	77
941	1235	76
942	1236	74
943	1237	73
944	1238	72
945	1239	70
946	1240	69
947	1241	68
948	1242	66
949	1243	65
950	1244	64
951	1246	62
952	1247	61
953	1248	60
954	1249	58
955	1250	57
956	1251	56
957	1252	54
958	1253	53
959	1254	52
960	1255	50
961	1256	49
962	1258	48
963	1259	47
964	1260	45
965	1261	44
966	1262	43
967	1263	41
968	1264	40
969	1265	39
970	1266	37
971	1267	36
972	1269	35
973	1270	33
974	1271	32
975	1272	31
976	1273	29
977	1274	28
978	1276	27
979	1277	26
980	1278	24
981	1279	23
982	1280	22
983	1281	20
984	1283	19
985	1284	18
986	1285	16
987	1286	15
988	1287	14
989	1288	13
990	1289	11
991	1290	10
992	1291	9
993	1292	7
994	1293	6
995	1294	5
996	1295	3
997	1296	2
998	1297	1
999	1299	0
